1360
81,306;974
81,306;1343
1337,911;1114
1337,911;375
585;922
585;1135
168;597
597;168
898;612
612;898
81,275;731
81,275;974
81,275;1343
62;216
1112,1127;657
1112,1127;210
771,1227;784
771,1227;731
771,1227;446
161,1162;725
161,1162;1150
419,247;1214
419,247;1263
127;252
252;127
209,406;905
209,406;70
209,406;1071
90;348
348;90
1277,1150;681
1277,1150;29
1120,675,911,692,310;128
1120,675,911,692,310;1188
1120,675,911,692,310;1114
1120,675,911,692,310;477
1120,675,911,692,310;894
1008,731,974;275
1008,731,974;691
993,911;1114
993,911;11
993,911;1188
972,556;944
972,556;511
944,511;972
944,511;556
132;1338
323,972;944
323,972;1157
944,1157;323
944,1157;972
200;493
493;200
771,886,1286;904
771,886,1286;922
771,886,1286;1222
904,922,1222;771
904,922,1222;886
904,922,1222;1286
648,771,886;400
648,771,886;922
648,771,886;904
379;566
566;379
731,188;138
731,188;131
1236,1150;842
1236,1150;1131
283,687;731
283,687;326
1120,675,745,911,310;128
1120,675,745,911,310;1188
1120,675,745,911,310;1114
1120,675,745,911,310;477
1120,675,745,911,310;894
731,1150,63;1142
1033,729;57
1033,729;193
731,502;138
731,502;1325
944,1094;1129
944,1094;972
1129,972;944
1129,972;1094
842,941;817
842,941;731
842,941;933
817,731,933;842
817,731,933;941
1112,739;349
1112,739;1198
1112,739;687
307,1356,895;1144
307,1356,895;351
771,731,399;81
771,731,399;922
81,922;771
81,922;731
81,922;399
922,1150;842
922,1150;731
105,469;125
105,469;493
853;575
575;853
386;426
1248,1156;736
1248,1156;343
736,343;1248
736,343;1156
771,886,1143;904
771,886,1143;922
771,886,1143;605
904,922,605;771
904,922,605;886
904,922,605;1143
595,1150;904
595,1150;609
595,1150;731
803,247;1268
803,247;1030
771,527;731
771,527;446
771,527;886
1088,1319;621
1088,1319;525
354;49
49;354
1135;869
869;1135
129,394,1155;1221
129,394,1155;621
129,394,1155;542
1345,731;1295
1345,731;687
1295,687;1345
1295,687;731
1352,81;731
